Reason_Theme,CiteKey,ID,Algo_Theme,DecisionTheme,Man_Theme,Match,Title,Year,PublicationTitle,Creators,Publisher,AffiliationCountry,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,Num_Factors,F1,F2,F3,F4,F5,F6,F7,F8,F9,F1_THEME,F2_THEME,F3_THEME,F4_THEME,F5_THEME,F6_THEME,F7_THEME,F8_THEME,F9_THEME,NUM_FAC_NOTSIG,FNS1,FNS2,FNS3,FNS4,ResearchType,SampleSize,METHOD1,METHOD2,METHOD3,METHOD4,Tech,THEORY1,THEORY2,THEORY3,THEORY4,LIMIT1,LIMIT2,LIMIT3,Abstract
In agreement,,p2_27,"psychological, market, personal",psychological,"social, psychological, personal",1,antecedents and moderators of promotion messages for trust in mobile banking services: an elaboration likelihood model perspective,2023,information systems management,"kinana jammoul, habin lee, jisun kim, moongil yoon, uthayasankar sivarajah",taylor & francis as,england,structural equation models,consumer-generated media,word-of-mouth,source credibility,technology acceptance,privacy concerns,perceived risk,initial trust,information privacy,latent interactions,7,sec_cn,trst,priv_cn,arg_qual,trst_wrt,sex,age,,,psychological,psychological,psychological,external,external,demographic,demographic,,,0,,,,,empirical,358,sem,,,,mobile banking,elm,,,,,,,this paper applies a theory of persuasion using the elaboration likelihood model to explain how communication messages from mobile banking services are interpreted by receivers to increase their trust in mobile banking. we explain how users security and privacy concerns moderate the central route persuasion relationship between argument quality and trust. a questionnaire survey is employed to test a research model. the findings indicate that central and peripheral route persuasion cues enforce users trust in mobile banking services. users with strong privacy and security concerns are more likely to rely on the quality of arguments of the messages. theoretical and practical implications are discussed in the paper.
In agreement,,p2_28,"psychological, demographic, perceptive",demographic,"psychological, demographic",1,antecedents of adoption of mobile banking by the generation y consumers,2019,prajnan,sreelakshmi c c,,kerala,banking functions,consumer behaviour,NA,NA,NA,NA,NA,NA,NA,NA,4,trst,compat,rel_adv,prisk,,,,,,psychological,external,external,perceptive,,,,,,2,comx,trial,,,quantitative,310,sem,,,,mobile banking,doi,,,,sample,loc_specific,,"the purpose of this paper is to identify antecedents of attitude towards mobile banking adoption by generation y consumers. the proposed model has assimilatedfactors from the theory of diffusion of innovation along with trust and perceived risk. data were collected through an online survey questionnaire completed by 310 generation y consumers of mobile banking. the collected data were analysed using structural equation modelling. the paper identifies three major antecedents to the attitude towards mobile banking adoption, viz., trust, compatibility and relative advantage. the study also confirmed the significant negative causal relation between perceived risk and trust. the other two innovation characteristics, complexity, and trialability were found insignificant in predicting attitude towards mobile banking adoption. by identifying the antecedents of attitude towards mobile banking by generation y consumers, banks and service providers will be able to design products in accordance with customer preferences. through a multi-faceted framework, the study extends the literature on innovation acceptance, exploring the factors influencing attitude towards mobile banking. the paper also builds a causal relation between perceived risk and trust in technology adoption."
In agreement,,p2_29,"market, psychological, demographic",market,"demographic, psychological, market",1,"are men from mars, women from venus? examining gender differences of consumers towards mobile-wallet adoption during pandemic",2023,cogent business & management,"ahmad s. s. ajina, hafiz muhammad usama javed, saqib ali, ahmad m. a. zamil",taylor & francis as,pakistan,behavioral reasoning theory,moderating role,innovation resistance,older-adults,m-banking,pls-sem,internet,online,information,perceptions,3,attd,intnt,sex,,,,,,,psychological,psychological,demographic,,,,,,,0,,,,,quantitative,327,pls sem,mulgrp,,,mobile wallet,brt,gst,,,,,,"the post-covid-19 era has witnessed the need for mobile-wallet app adoption due to non-physical transactions. prior researchers have captured consumers mobile-wallet adoption by involving facilitators or inhibitors. the detailed effect of facilitators and inhabitations in developing consumers intention regarding mobile-wallet apps in a single model remain untapped in the marketing literature. the current study used two lenses: behavioral reasoning theory and gender schema theory, to investigate reasons for and against mobile-wallet adoption in pakistan. for this purpose, two independent but relevant studies were performed. study 1 involved respondents from the punjab province, while study 2 mainly focused on the other three provinces of pakistan, i.e., sindh, baluchistan and khyber pakhtunkhwa. pls was used for sem and multigroup analysis. study 1modifier letter primes results revealed that attitude significantly influences intention. moreover, ‚Äö√§√∫reason for‚Äö√§√π and ‚Äö√§√∫reason against‚Äö√§√π significantly affect consumers attitudes and intentions for mobile-wallet app adoption. study 2 confirmed the results of study 1 and provided significant differences between males and females regarding mobile-wallet adoption. such as, males have a more substantial influence on mobile-wallet apps adoption than females."
In agreement,,p2_30,"psychological, perceptive, market",perceptive,"perceptive, psychological",1,banking on the go,2018,international journal of quality and service sciences,tingting zhang,emerald,usa,mobile technology,mobile apps,NA,NA,NA,NA,NA,NA,NA,NA,9,peou,pu,fac_cond,safe_cn,rely,priv,fun_feat,innov,trst,perceptive,perceptive,external,psychological,external,external,external,personal,psychological,0,,,,,quantitative,520,sem,,,,mobile banking,tam,,,,,,,"purpose ‚Äì this paper aims to examine consumers‚Äô adoption of mobile technology to facilitate their banking services and activities, and to investigate the factors influencing their adoption and engagement. design/methodology/approach ‚Äì an online survey is used to test proposed relationships between factors and consumers‚Äô mobile banking adoption. structural equation modeling is performed to analyze consumers‚Äô intentions toward mobile banking. findings ‚Äì traditional technology acceptance model factors ‚Äì perceived usefulness and perceived ease of use ‚Äì are identified as effective factors in influencing consumers to adopt mobile technology for facilitating banking services. moreover, technology safety concerns, including reliability and privacy factors, are found to play an important role in motivating consumers to embrace mobile banking. the ‚Äúfun‚Äù feature of the technology and consumers‚Äô innovativeness characteristics are considered important in influencing mobile banking adoption. trust in the banks has its predominant role in mobile technology adoption for banking services. practical implications ‚Äì a bank gaining trust from its clients is key to active adoption of mobile banking technology. bankers are advised to pay more attention to reliability and privacy features when designing and promoting mobile banking technology to consumers. moreover, advertisements to bank clients should stress the ‚Äúfun‚Äù aspects of the mobile banking apps to attract them to the use of mobile banking technology. originality/value ‚Äì this paper investigates the factors influencing bank consumers to adopting mobile banking apps to facilitate their banking services. nine key factors in the technology adoption area are examined to provide a comprehensive understanding of bank clients‚Äô use of mobile banking apps, which advances the understanding of mobile technology applied in the banking industry in the literature."
In agreement,,p2_31,"psychological, market, social",market,"demographic, market",1,barrier-breakers influence on full-adoption of digital payment methods,2024,internet research,irina dimitrova,emerald,sweden,mobile banking,behavioral intention,user acceptance,young consumers,online banking,technology,services,trust,information,reliability,3,cred,pu,socinf,,,,,,,external,perceptive,social,,,,,,,1,peou,,,,empirical,,ordinal regression,,,,cashless payment,tam,tam2,,,,,,"purposethe purpose of this study is to empirically examine the relationships between barrier-breakers and customers intention to fully adopt digital payment methods (dpms).design/methodology/approachsurvey data were analyzed using statistical methods focusing on hypothesis testing with an ordinal regression model and moderation analysis using the process macro extension. participants were divided into two groups of customers in sweden: adopters-accepters, i.e. young bank customers and adopters-resisters, i.e. members of a formally organized group opposed to a cashless society.findingsthe findings revealed that only the credibility barrier-breaker could increase the adopters-accepters intention to fully adopt dpms. credibility also seemed to be an important barrier-breaker for the adopters-resisters, as were perceived usefulness and social influence. additional analyses showed that the impersonalization barrier reduces the impact of the barrier-breakers on dpm adoption.practical implicationsretail banks and merchants can use these results as a guide to what barrier-breakers might affect various customers intention to fully adopt dpms, and to act accordingly. the impersonalization barrier also merits attention when creating an emotional connection to customers who use dpms.originality/valuethis study provides empirically based knowledge of the influence of barrier-breakers on the intention of customers, categorized as adopters-accepters and adopters-resisters, to fully adopt dpms, and highlights the importance of maintaining a human touch in the post-covid-19 digital era."
In agreement,,p2_32,"psychological, personal, market",market,"perceptive, market",1,barriers to bank customers intention to fully adopt digital payment methods,2022,international journal of quality and service sciences,"irina dimitrova, peter ohman, darush yazdanfar",emerald,sweden,mobile banking,perceived risk,innovation adoption,consumer adoption,cashless society,internet banking,resistance,services,future,india,5,priv,acc,imprsn,sec,trst,,,,,external,external,personal,external,psychological,,,,,0,,,,,empirical,,ordinal regression,,,,cashless payment,tam,irt,,,sample,bias,question,"purpose the purpose of this study is to empirically investigate the relationship between a set of functional and social-psychological barriers and bank customers intention to fully adopt digital payment methods (dpms). design/methodology/approach the data were collected via an online questionnaire sent to two samples of swedish bank customers, namely, adopters-accepters (i.e. young bank customers) and adopters-resisters (i.e. a group opposing a cashless society). hypotheses were tested by applying an ordinal regression model. findings regarding the adopters-accepters, privacy and access barriers can be obstacles to the full adoption of dpms. the adopters-resisters perceived all five studied barriers as significant, though only the impersonalisation barrier seemed to matter when the barriers were related to their intention to fully adopt dpms. moreover, the results suggest that barriers have a stronger negative effect on the intention to fully adopt among those with extensive experience of dpms. practical implications based on the barriers affecting the intention of particular groups of bank customers to adopt dpms, banks could implement customised measures to promote the ongoing development of digital financial services. originality/value in this under-researched area, this study provides empirical knowledge of the influence of various barriers on the intention of bank customers characterised as adopters-accepters and adopters-resisters to fully adopt dpms."
In agreement,,p2_33,"psychological, market, personal",psychological,"psychological, personal",1,cognitive factors and actual usage of fintech innovation: exploring the utaut framework for digital banking,2024,heliyon,"manal tariq, sayeda zeenat maryam, wasim abbas shaheen",cell press,pakistan,information-technology,consumer acceptance,mobile banking,unified theory,adoption,intention,risk,determinants,context,systems,4,peex,fac_cond,risk,trst,,,,,,personal,external,external,psychological,,,,,,0,,,,,quantitative,,sem,,,,digital banking,utaut,,,,sample,,,"digital services and innovative solutions often emphasize providing an enhanced fintech banking experience. this study identifies and examines the cognitive factors influencing the actual usage of fintech-based digital banking among customers. the unified theory of acceptance and use of technology (utaut) framework is applied taking behavioral intentions as the mediator of the study. by following purposive sampling, data was collected through a self-administrative survey and analysis made via structural equation modeling (sem). findings demonstrate that performance expectancy, facilitating conditions, risk, and trust are significant predictors of digital banking usage. furthermore, behavioral intentions fully mediate the relationship between these predictors and actual usage. this research holds several practical implications. the identified predictors, can enable providers to enhance their offerings and meet customer expectations, and recognition of behavioral intentions being a mediator highlights the importance of understanding customers intentions and motivations to encourage favorable usage behavior; financial institutions can better promote the adoption and sustained usage of digital banking services. the originality of this research lies in examining the cognitive factors affecting the actual usage of fintech-based digital banking. this unique approach provides valuable insights into the underlying mechanisms driving customers usage of digital banking services."
In agreement,,p2_34,"market, psychological, personal",psychological,"psychological, perceptive",1,consumer adoption of mobile payment services during covid-19: extending meta-utaut with perceived severity and self-efficacy,2022,international journal of bank marketing,"nitin upadhyay, shalini upadhyay, salma s. abed, yogesh k. dwivedi",emerald,india,unified theory,user acceptance,information-technology,empirical-examination,behavioral intention,online surveys,initial trust,m-banking,pls-sem,model,6,peex,efex,fac_cond,attd,psec,self,,,,personal,personal,external,psychological,perceptive,psychological,,,,1,socinf,,,,quantitative,,sem,,,,cashless payment,utaut,meta_utaut,,,sample,,,"purpose the purpose of this paper is to identify and examine the important factors that could affect consumers behavioural intention and use behaviour towards mobile payment services during covid-19. design/methodology/approach the proposed model extends meta-unified theory of acceptance and use of technology (meta-utaut) model with perceived severity and self-efficacy factors affecting consumers behavioural intention and use behaviour towards mobile payment services. a convenient sampling technique has been utilized to gather data from a self-administered questionnaire. the data collection was restricted to the online mode to avoid any physical contact considering the covid-19 situation. findings the findings revealed that performance expectancy, effort expectancy and perceived severity have a significant positive impact on consumers attitude; facilitating conditions has a significant positive impact on effort expectancy; self-efficacy has a significant positive impact on effort expectancy; attitude has a significant positive impact on behavioural intention; and behavioural intention has a significant positive impact on use behaviour. social influence did not confirm any significant relationship. research limitations/implications the current research study has utilized a non-probability convenient sampling technique to gather data through a self-administered questionnaire. the data collection was restricted to the online mode to avoid any physical contact considering the covid-19 situation. the respondents were adopters of mobile payment services. the scope of the study is the covid-19 context or related chronic diseases context where major preventive mechanisms such as social distancing and avoidance of physical contacts are vital. originality/value this study has extended the meta-utaut model with the covid-19 context-specific constructs and relationships. the undertaken work has strengthened the explanability of the model. the inclusion of context relevant variables such as perceived severity and self-efficacy and their association with the existing meta-utaut framework have enriched the context of the study. the current study offers a holistic understanding of significant factors influencing indian consumers adoption of mobile payment services in the covid-19 context."
In agreement,,p2_35,"psychological, personal, social",psychological,"psychological, personal",1,consumer use of mobile banking (m-banking) in saudi arabia: towards an integrated model,2019,international journal of information management,"abdullah m. baabdullah, ali abdallah alalwan, nripendra p. rana, hatice kizgin, pushp patil",elsevier,saudi arabia,factors influencing adoption,service quality dimensions,games m-sngs,internet banking,information-technology,unified theory,empirical-examination,perceived ease,customer satisfaction,intrinsic motivation,7,peex,price,fac_cond,hed_motiv,habt,sys_qual,serv_qual,,,personal,external,external,psychological,personal,external,external,,,0,,,,,quantitative,,sem,,,,mobile banking,utaut2,dm,,,sample,no_long,,"mobile banking is one of the most promising technologies that has emerged in recent years and could prove to have considerable value to both banks and customers. thus, this study recognises the need to test the main factors that could predict the use of mobile banking as well as how using such a system could contribute to both customer satisfaction and customer loyalty. the conceptual model of this study combines two models (i.e. utaut2 and the d& m is success model). a questionnaire survey was conducted to collect the required data from convenience sampling of saudi bank customers. the main factors - performance expectancy, price value, facilitating conditions, hedonic motivation, habit, system quality and service quality - were found to have a significant impact on actual use behaviour. this study was cross-sectional, therefore future studies should implement longitudinal studies in order to re-collect the findings. further, this study adopted convenience sampling of saudi m- banking users. this may adversely impact the issue of generalisability to the whole population. the gap in the m-banking literature in saudi arabia would be bridged by proposing a comprehensive conceptual model that scrupulously clarifies the use of m-banking from the perspective of saudi users. furthermore, this study would consider the adoption of numeric data in order to inferentially analyse them using sem. this in turn would assist in generalising the findings to the whole saudi population."
In agreement,,p2_36,"perceptive, demographic, cultural",perceptive,perceptive,1,consumers parsimony of mobile internet banking usage in malaysia,2019,,lim foo-wah,,,mobile banking adoption,generation y,perceived ease of use,perceived usefulness,perceived risk,NA,NA,NA,NA,NA,3,peou,pu,prisk,,,,,,,perceptive,perceptive,perceptive,,,,,,,0,,,,,empirical,358,pls sem,,,,mobile banking,,,,,,,,"Purpose of the Study: The objective of this study is to empirically investigate the determinants of the adoption of mobile Internet Banking in Malaysia. However, the slow growth of mobile Internet banking usage as comparison to online Internet Banking increases the concern on the adoption and parsimony issues of mobile Internet banking (MI-Banking) usage in managing personal finances and banking activities. Methodology: Self-administered survey was applied and analyzed by using V-Base structural equation modeling. The responses of 358 respondents were analyzed by using Structural Equation Modeling (SEM) based on Partial Least Squares (PLS) technique. Results: The findings of this study revealed that perceived ease of use, perceived usefulness, and perceived risk significantly influenced the adoption of mobile internet banking, while perceived ease of use was found to have the greatest influence on the overall adoption of mobile internet banking. At the same token, perceived ease of use was found to have a significant influence on perceived usefulness. Implications: The application of mobile internet services has increased and mobile phones are becoming significant tools for managing and controlling personal finances and spending. Thus, a study was conducted to seek clarification on the predictors of mobile Internet banking adoption among Malaysians that will embark further and deeper studies in the context of mobile Internet Banking. © Foo-Wah et al."
In agreement,,p2_37,"psychological, market, perceptive",demographic,"personal, demographic",0,consumption values and mobile banking services: understanding the urban-rural dichotomy in a developing economy,2021,international journal of bank marketing,"heikki karjaluoto, richard glavee-geo, dineshwar ramdhony, aijaz a. shaikh, ashna hurpaul",emerald,mauritius,technology acceptance model,perceived value,discriminant validity,behavioral intention,initial trust,social value,method bias,adoption,recommendations,identification,4,fun_val,epi_val,emo_val,soc_val,,,,,,personal,personal,psychological,social,,,,,,1,soc_val,,,,quantitative,246,pls sem,,,,mobile banking,tcv,,,,sample_size,loc_specific,,"purpose this study develops a theoretical model of consumption values regarding the technology adoption of mobile banking (m-banking) services, with the financial service sector as the empirical context. this study aims to evaluate whether consumption values influence trust and intention. furthermore, the authors explore how the consumer type (i.e. urban vs rural) differs in consumption values regarding adopting m-banking services. design/methodology/approach the data for this study were gathered from 246 responses collected from individuals living in a country with a developing market, using a survey instrument. the six study hypotheses were tested using partial least squares structural equation modeling. findings the authors found support for effects from functional, epistemic and emotional value on intention. functional and emotional value significantly influenced trust, while social and epistemic value did not. social value was a significant moderator between functional value and intention. consumers who were relatively unconcerned with social value were more motivated by functional value, while consumers who placed great emphasis on social value were motivated by epistemic value. multigroup analysis showed that the effect from functional value on trust was stronger for urban than rural customers, while the effect from emotional value on trust was stronger for rural than urban customers. practical implications overall, functional value is the strongest predictor of trust and intention; therefore, bank managers are encouraged to promote m-banking services functional value to increase trust and attract more users by promoting their companies m-banking application. m-banking customers can also be classified based on the benefits in which they are most interested. originality/value the study is one of the first attempts to demonstrate empirically how consumption values dimensions drive m-banking use among different types of customers in a developing market context with a high m-banking penetration rate."
In agreement,,p2_38,"personal, psychological, market",psychological,psychological,1,convenience matter in mobile banking adoption intention?,2020,,amit shankar,,,mobile banking,online convenience,adoption intention,online consumer behaviour,NA,NA,NA,NA,NA,NA,3,acc_conv,trsn_conv,pos_conv,conv,,,,,,external,external,external,external,,,,,,0,,,,,quantitative,432,pls sem,,,,mobile banking,,,,,,,,"The purpose of this study is to explore how different dimensions of online convenience impact mobile banking (m-banking) adoption intention. The findings from 432 banking users show that access convenience, transaction convenience, and possession/post-possession convenience predict m-banking adoption intention, with the chief driver being the possession/post-possession convenience. Further, results suggest that the intention to adopt m-banking leads to m-banking adoption and usage. These findings offer unique insights to banks about how to make m-banking platforms more convenient for enhancing the pace of m-banking adoption intention and usage. This study also makes several contributions to the mobile commerce and online convenience literature."
In agreement,,p2_39,"psychological, perceptive, cultural",psychological,"psychological, cultural, perceptive",1,critical factors influencing the behavioral intention of consumers towards mobile banking in malaysia,2020,,zahoor ur rehman,,,mobile banking adoption,technology acceptance model, perceived risk,generation y,malaysia,NA,NA,NA,NA,NA,5,peex,efex,socinf,pcred,pconv,,,,,personal,personal,social,perceptive,perceptive,,,,,0,,,,,empirical,,review,,,,mobile banking,,,,,,,,"Mobile banking services are widely adopted in developed and developing countries, while their adoption by Malaysian consumers is relatively low. The effective adoption of mobile banking mostly depends on consumers. This study’s objective was to examine the factors that influence Malaysian customers’ behavioral intention toward mobile banking. A detailed literature review was conducted in order to identify the critical factors that affect mobile banking users. The research model was based on the Technology Acceptance Model, investigating additionally perceived risk. Primary data were collected from 384 generation Y bank customers. Structure equation modeling through Smart-PLS was used for data analysis. Results revealed that consumers’ behavioral intention was significantly and positively influenced by perceived usefulness and ease of use, while a significant negative relationship was found between consumers’ behavioral intention and perceived risk. The findings also revealed a mediating relationship of attitude between perceived usefulness, ease of use and risk, and behavioral intention to use mobile banking. The study provides appropriate guidelines to Malaysian banks and mobile banking application developers for the effective implementation and design of mobile banking services. © 2020, Dr D. Pylarinos. All rights reserved."
In agreement,FernandoCS5SocialStratification2022,p2_40,"psychological, personal, market",psychological,"psychological, perceptive",1,"social stratification, self-image congruence, and mobile banking in colombian cities",2022,journal of international consumer marketing,"juan fernando tavera-mesias, aaron van klyton, alexander zuniga collazos","routledge journals, taylor & francis ltd",colombia,active innovation resistance,technology acceptance model,perceived risk,information-technology,user acceptance,discriminant validity,consumer acceptance,commerce adoption,pls-sem,payment,5,pu,peou,risk,fac_cond,sim_cong,,,,,perceptive,perceptive,external,external,psychological,,,,,0,,,,,quantitative,,sem,,,,cashless payment,tam,,,,sample,loc_specific,,"this study examines the antecedents of the intention to use m-payment applications for lower-income urban users. using the unique socioeconomic stratification system of colombia, this is the first study to integrate facilitating conditions and self-image congruence constructs with the technology acceptance model for this consumer group. in elucidating the perceptions of these m-payment users, we give relevance to their personal characteristics and lifestyles and articulate how the self-concept is influenced by sources of information. perceived usefulness and perceived ease of use were the main direct antecedents, respectively, while risk had less influence. moreover, facilitating conditions and congruence were significant in explaining intention to use and served as antecedents of resistance for using m-payment apps. the managerial implications are that marketing messaging and application design should thematically integrate representations, images, and expressions shared among these consumers to increase self-image congruence and enhance perceived utility and ease of use of m-payment apps."
In agreement,,p2_41,"psychological, market, personal",psychological,"psychological, market, extrinsic",1,customer satisfaction with digital banking channels in times of uncertainty,2022,,atef harb,,,jel classification,internet banking,mobile banking,service quality,NA,NA,NA,NA,NA,NA,7,serv_qual,dbc_adpt,cost_save,eou,no_brnch_vis,,,,,external,external,external,external,external,,,,,0,,,,,empirical,,correlation,multiple regression,,,mobile banking,servqual,,,,,,,"The unprecedented Lebanese economic crisis and the global COVID-19 pandemic have taken their toll on the Lebanese banking sector. This led to the need to investigate this sector in times of dire uncertainty by highlighting six digital banking channels offered by Lebanese banks. This study reveals how the banking industry has adapted to this novel situation by embracing dynamic technological changes to attain higher levels of customer satisfaction with digital banking channels (DBCs). Consequently, the study investigates the extent of DBC adoption, their usage benefits, the resulting service quality, and their aggregate impact on overall customer satisfaction with DBCs. The study measures customer satisfaction with digital technologies implemented in Lebanese banks during the most unstable period of Lebanese history. This study supported the deductive approach generating significantly interesting results by analyzing Spearman's correlations regarding DBC adoption and investigating customer satisfaction levels with DBCs showing satisfactory results such as high correlation for mobile banking adoption (0.544), internet banking (0.533), transactional call center (0.528) followed by ATM (0.455). A multiple linear regression study found a positive relationship between DBC adoption in Lebanese banks and overall customer satisfaction with DBCs with an adjusted R-squared value of 0.454 for DBC benefits and an adjusted R-squared value of 0.802 for DBC service quality in Lebanese banks on their customer satisfaction. The final conclusion is that banks should invest in DBCs and develop them as they are the major determinants leading to improved customer satisfaction through higher adoption/diversification rates, improved service quality levels and greater benefits. © Atef Harb, Mira Thoumy, Michel Yazbeck, 2022."
In agreement,,p2_42,"cultural, perceptive, psychological",cultural,cultural ,1,determinants of mobile banking adoption: a comparative study between u.s. and thailand,2018,,chuleeporn changchit,,thailand,comparative study,culture,mobile banking,technology acceptance model ,thailand,USA ,tam,NA,NA,NA,4,pu,peou,socinf,fac_cond,,,,,,perceptive,perceptive,social,external,,,,,,0,,,,,comparative,,,,,,,tam,,,,,,,"With a rapid increase in smart phone users, mobile banking is becoming an available banking channel that allows consumers to perform banking transactions at their own convenience. However, not all customers are ready to embrace this new channel of services. It is crucial for banks to fully understand the preferences of their customers, especially which factors play an important role in encouraging or discouraging customers from using this banking channel. It is also important to further investigate whether their customers’ perceptions on mobile banking is influenced by culture. This article aims at comparing the mobile banking perceptions between the consumers in the U.S. and in Thailand. The research findings reveal the various factors that influence mobile banking adoption for these two nationalities. The results should help banks gain an understanding of these factors, and thus direct their efforts to develop features that satisfy the needs of their target customers and alter their business model to promote factors that have a positive influence on mobile banking adoption."
In agreement,,p2_43,"personal, social, cultural",social,"social, psychological, cultural",1,diffusion of mobile banking in pakistan,2019,,mazhar abbas,,pakistan,mobile banking,innovativeness,relative advantage,diffusion,social influence,NA,NA,NA,NA,NA,4,comx,socinf,rel_adv,innov,,,,,,external,social,external,personal,,,,,,2,prisk,self,,,quantitative,328,pls sem,,,,mobile banking,doi,,,,no_long,question,sample,"Research on diffusion of mobile banking is still in the beginning stage and the purpose to describe the diffusion as well as understanding the consumer adoption of mobile banking, still demand urgent market research, in the context of mobile banking adoption. To understand this problem, this research examines the mobile banking by measuring the consumer adoption. This research employed the diffusion of innovation theory. Data were gathered from 328 mobile banking users of three cities, Bahawalpur, Multan and Muzaffargarh, in the Province of Punjab, Pakistan, by using self-administered, survey questionnaires. Data were statistically tested by using Structural Equation Model PLS (SEM). In the end, the results validated the notion of diffusion of mobile banking, in the context of low income people of Pakistan. The results also revealed that majority of the main factors like complexity, social influence, relative advantage and consumer innovativeness, did have significant influence on diffusion of mobile banking adoption. However, two factors, perceived risk, and self-efficacy were insignificant with diffusion of mobile banking adoption."
satisfaction + agreement,KaurDigitalBankinginNortIndia2021,p2_44,"psychological, market, personal",psychological,psychological,1,digital banking in northern india: the risks on customer satisfaction,2021,risks,"balijinder kaur, sood kiran, simon grima, ramona rupeika-apoga",mdpi,india,service quality,internet banking,mobile banking,online,adoption,models,scale,pls,NA,NA,5,rely,tangbl,respons,asr,empath,,,,,external,external,external,external,psychological,,,,,0,,,,,quantitative,222,sem,,,,digital banking,servqual,,,,loc_specific,sample_size,,"the widespread use of digital technologies and the current pandemic (covid) have fueled the need and call for digital transformation in the banking sector. although this has various benefits, it is a disruption to the norm to which a bank customer has to become accustomed. this variance means that customers would have to make some changes to their routine. this can constitute risks in terms of maintaining customer satisfaction at previous levels. these risks are associated with customer retention because a service or product needs to be aligned with customer expectations to avoid them switching to other service providers. moreover, it can also have an effect on reputation. offering digital account opening or remote deposits may not satisfy customers; competitive advantage depends on many aspects such as providing a hassle-free, personalized and cyber-secure experience, economic aspects and the needs of the society at large. therefore, there is a need to understand the intensity of the risk factors that influence customer satisfaction for digitalized banking services and products. to do this, we carried out a structured survey, framed on the five dimensions of the servqual model, which was sent out to northern indian banking customers, to which we received 222 valid responses. we subjected the data received to structural equation modelling using the smartpls version 3 application software. results reveal that digital banking customers in northern india are genuinely satisfied with the quality of services provided by digital banking. moreover, `reliability has the strongest risk factor impact on customer satisfaction, followed by `tangibility and `responsiveness."
"experince, performance + agreement",,p2_45,"psychological, personal, perceptive",psychological,"personal, psychological, perceptive",1,"digital banking, customer experience and bank financial performance: uk customers perceptions",2018,international journal of bank marketing,"cajetan i. mbama, patrick o. ezepue",emerald,england,service quality,scale development,internet banking,perceived usefulness,consumer adoption,mobile banking,mediating role,satisfaction,loyalty,model,6,serv_qual,func_qual,pval,engg_empcus,pusbl,prisk,,,,external,external,perceptive,social,perceptive,perceptive,,,,0,,,,,quantitative,,sem,financial ratios analysis,,,digital banking,,,,,loc_specific,limit_measure,,"purpose the purpose of this paper is to examine customers perceptions of digital banking (db), customer experience, satisfaction, loyalty and financial performance (fp) in uk banks. design/methodology/approach the research consists of a survey of uk bank customers perceptions of the above themes; use of banks financial reports to obtain fp ratios; multivariate factor analysis; structural equation modelling; and analysis of variance tests to explore research hypotheses on the relationships among the study factors. findings the main factors which determine customer experience in db are service quality, functional quality, perceived value (pv), employee-customer engagement, perceived usability and perceived risk. there is a significant relationship among customer experience, satisfaction and loyalty, which is related to fp. research limitations/implications this study concentrates on uk bank customers which limits its generalisability to other banks globally. however, the fact that banks typically adopt common standards in bank financial management implies that the findings are potentially robust for global bank management. replicating the study in banks in other countries will further enhance this robustness. practical implications some significant effects of customer characteristics on the study factors were observed, which have useful implications for db, bank marketing services and bank fp. originality/value unlike previous studies, this study uses both net promoter score and financial ratios as dependent variables, to provide a combined study of the relationships among 14 study factors, with implications for bank marketing and fp."
In agreement,,p2_46,"market, social, psychological",market,generic,0,"digital banking: challenges, emerging technology trends, and future research agenda",2022,international journal of e-business research,"elisa indriasari, harjanto prabowo, ford lumban gaol, betty purwandari",igi global,indonesia,mobile banking,retail banking,mediating role,adoption,model,design,transformation,performance,innovation,framework,8,tech,org,peopl,prcss,env,customer,sec,risk,,market,external,social,external,social,personal,external,external,,0,,,,,review,,slr,,,,digital banking,,,,,limit_scope,sample,,"due to the exponential growth of the internet, smartphones, and communication technologies during the last two decades, the digital banking sector has enormously advanced in terms of user-friendly, efficient, and fast financial transactions. digital banking also plays a significant role as an enabler of cashless transactions in the economic crisis caused by the covid-19 pandemic. the study investigates the challenges, technology, and future research agenda of digital banking. the paper follows the manifestation of kitchenhams slr protocol. six databases were used to determine articles that match the criteria. the study considers recent articles, which have been published from 2015 to 2021. sixty-seven papers have been selected, extracted, and analyzed. the result highlights issues related to technology, organization, people, process, environment, customers, security, and risk, which become challenges in digital banking innovation. this research presents suggestions for future research directions, which will be beneficial to practitioners and scholars around the globe."
